,All,Hokkaido,Saitama,Chiba,Tokyo,Osaka,Hyogo,Yamaguchi,Nagasaki,Miyazaki
2018Jan,86976,2935,5033,4165,10773,6502,3748,866,887,738
2018Feb,77939,2775,4409,3780,9438,5500,3358,763,803,690
2018Mar,82678,2896,4681,3984,10178,5680,3531,759,865,700
2018Apr,77457,2602,4300,3619,9670,5549,3465,698,841,691
2018May,84482,2832,4840,4011,10464,6076,3607,806,927,755
2018Jun,75379,2604,4144,3634,9366,5450,3298,720,885,658
2018Jul,76609,2584,4417,3673,9157,5693,3367,739,831,686
2018Aug,77573,2781,4273,3663,9495,5616,3472,743,812,676
2018Sep,69739,2379,3900,3348,9000,5119,3008,663,745,627
2018Oct,84502,2949,4763,4124,10688,6279,3660,777,897,719
2018Nov,77769,2739,4239,3671,9759,5808,3417,761,815,642
2018Dec,76584,2673,4264,3663,9604,5453,3400,748,846,677
2019Jan,84062,2944,4799,3950,10447,6181,3576,835,898,758
2019Feb,74711,2587,4278,3588,9190,5453,3214,721,803,666
2019Mar,75404,2611,4268,3586,9667,5405,3276,725,803,682
2019Apr,75799,2670,4275,3504,9352,5712,3396,699,790,661
2019May,81678,2821,4667,3981,10114,6024,3689,862,863,718
2019Jun,70789,2420,4062,3353,8772,5291,3169,680,769,630
2019Jul,77753,2659,4449,3652,9740,5826,3438,731,828,659
2019Aug,72858,2521,4087,3492,9097,5329,3136,679,780,682
2019Sep,72528,2542,4252,3570,9149,5409,3142,662,723,655
2019Oct,80260,2766,4549,3881,10232,5926,3504,727,892,719
2019Nov,73351,2559,4249,3507,9377,5382,3284,654,705,612
2019Dec,77143,2617,4266,3742,9848,5716,3360,702,838,621
2020Jan,82809,2743,4708,3986,10371,6197,3544,785,799,703
2020Feb,71475,2371,4138,3385,9206,5355,3144,683,800,604
2020Mar,78329,2570,4452,3778,9988,5676,3398,763,813,706
2020Apr,75535,2503,4191,3635,9275,5520,3249,744,811,672
2020May,67256,2318,3894,3269,8135,4988,2914,607,780,598
2020Jun,66680,2404,3689,3133,7935,4866,2873,656,698,628
2020Jul,69271,2323,3774,3211,8491,5265,2948,697,773,646
2020Aug,68291,2395,3729,3240,8466,5082,2907,598,747,617
2020Sep,71615,2457,3971,3406,8978,5327,3125,682,768,630
2020Oct,74839,2511,4160,3647,9259,5441,3341,717,816,649
2020Nov,69751,2423,4030,3330,8891,5229,3017,678,733,611
2020Dec,75747,2598,4323,3572,9468,5707,3317,733,760,634
2021Jan,78036,2641,4493,3748,9886,5800,3426,690,745,661
2021Feb,70730,2269,4061,3489,8969,5235,3113,645,755,599
2021Mar,81677,2786,4671,3963,10213,5956,3569,729,808,713
2021Apr,73916,2521,4270,3570,9121,5358,3301,673,711,670
2021May,66192,2246,3754,3193,8210,5022,2853,693,695,601
2021Jun,70265,2292,4017,3395,8685,5255,3095,670,761,644
2021Jul,66259,2244,3753,3248,8106,4762,2776,621,733,591
2021Aug,67158,2312,3799,3229,8120,4971,2930,680,702,587
2021Sep,66350,2273,3762,3206,7949,5109,2921,598,722,587
2021Oct,64551,2288,3662,3034,8002,4751,2846,642,632,556
